address,email,hours,image,lat,lng,name,phone,url,id,image_path
"4203 Clio Rd Flint, Mi 48504",,,\x,43.0527448,-83.7330916,Clio Road Drive Thru,(810) 720-8777,,57,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_57.png
"1633 W Atherton Flint, Mi 48507",,"Mon - Sun, 8am - Midnight",\x,42.9879306,-83.70293509999999,Westgate Liquor,(810)422-7493,,59,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_59.png
"201 W Carpenter Rd Flint, Mi 48505",,,\x,43.0751943,-83.70722339999999,Easy Shop,(810) 785-8820,,63,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_63.png
"1652 N Chevrolet Flint, Mi 48504",,"Mon - Sun, 9am -1am",\x,43.0302778,-83.7156203,Quick Pick,(810) 820-3318,,65,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_65.png
"3518 Corunna Rd Flint, Mi 48503",,"Mon - Sat, 9am - 2am; Sun, 11am - 10pm",\x,43.0026563,-83.7328219,Juliano'S C Store,(810) 239-6581,,67,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_67.png
"1945 Fenton Rd Flint, Mi 48507",,Mon - Sat: 9am - 2am; Sun: 10am - 12am,\x,43.0011889,-83.6930048,Liquor Corner Two Inc,(810) 234-7790,,71,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_71.png
"4202 Fenton Rd Flint, Mi 48507",,"Mon - Sun, 8am - 12 am",\x,42.9849797,-83.693383,Tony K'S Party Shoppe,(810) 767-8050,,73,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_73.png
"5011 Clio Flint, Mi 48504",,,\x,43.0754375,-83.7339009,Liquor Cave,(810) 789-1111,,77,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_77.png
"4612 Western Rd Flint, Mi 48506",,Mon - Sun: 6am - 10pm,\x,43.0569491,-83.65616299999999,Sams Rollingwood Market,(810) 736-6618,,81,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_81.png
"1113 W Pasadena Flint, Mi 48504",,,\x,43.0459847,-83.71904190000001,Nikolais Neighborhood Party Store,(810) 787-1405,,83,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_83.png
"2809 W Court St Flint, Mi 48503",,Mon - Sat: 9am - 2am; Sun: 12pm - 12am,\x,43.0066616,-83.7258492,Cheers Market,(810) 232-7645,,85,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_85.png
"1817 N Saginaw Flint, Mi 48505",,"Mon - Sun, 10am - 2am",\x,43.0333265,-83.6940267,Dado Market 1817 Inc,(810) 238-2447,,89,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_89.png
"1602 Oren Avenue Flint, Mi 48503",,,\x,43.0311882,-83.70324509999999,Kings Market,(810) 238-2425,,91,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_91.png
"4117 Clio Rd Flint, Mi 48504",,,\x,43.0518989,-83.7330681,Liquor Wheel,(810) 732-6475,,95,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_95.png
"1701 S Saginaw St Flint, Mi 48503",,"Mon - Sun, 7am - 2am",\x,43.0055574,-83.6796773,South End Market Flint,(810) 234-0322,,97,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_97.png
"2318 Lewis St Flint, Mi 48506",,Mon - Th: 9am - 11pm; Fri - Sat: 9am - Midnight; Sun: 10am - Midnight,\x,43.0369942,-83.6748796,Easy Pick Food Shoppe,(810)767-2977,,101,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_101.png
"4101 N Dort Hwy Flint, Mi 48505",,,\x,42.97151299999999,-83.64934799999999,Big D Party Store,(810) 787-3246,,107,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_107.png
"1235 N Dort Hwy Flint, Mi 48506",,"Mon - Fri, 9am - 2am; Sat, 10am - 2am; Sun, 12pm - 12am",\x,43.028427,-83.65566439999999,Macs Food Fair,(810) 239-2022,,111,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_111.png
"701 W Stewart Flint, Mi 48504",,"Mon - Sun, 9am -11pm",\x,43.0537964,-83.71382559999999,Saba'S Mini Mart,(810) 785-0801,,113,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_113.png
"1302 Dupont Flint, Mi 48504",,10am - 10pm; Closed some Sundays + Holidays,\x,43.0226597,-83.7124621,4-Way Party Store,(810) 234-6444,,117,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_117.png
"523 W Carpenter Rd Flint, Mi 48505",,"Mon - Sun, 8am - 2am",\x,43.0752615,-83.71110159999999,Zerka Food Center,810-787-3188,,123,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_123.png
"2605 Corunna Rd Flint, Mi 48503",,,\x,43.002979,-83.72160099999999,Corunna Dollar Store,(810) 342-0515,,125,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_125.png
"3401 Lapeer Rd Flint, Mi 48503",,"Monday - Sunday, 8am - 2am",\x,43.0100953,-83.648163,Lapeer Liquor Shoppe,(810) 743-6746,,127,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_127.png
"127 E Main St Flushing, Mi 48433",,,\x,43.063216,-83.854776,"Rye Bakery, The",,,1073,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1073.png
"6016 Clio Rd Flint, Mi 48504",,,\x,43.0670728,-83.7329049,Safaros Food Store,(810) 787-5626,,141,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_141.png
"2134 M L King Ave Flint, Mi 48503",,,\x,43.03580470000001,-83.7040153,D & H Market,(810) 234-9231,,147,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_147.png
"2101 S Dort Hwy Flint, Mi 48507",,,\x,43.00345249999999,-83.6531936,E-Z  Stop,(810) 239-4445,,153,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_153.png
"3412 Clio Rd Flint, Mi 48504",,"Mon - Sat: 9am -1am; Sun, 9am - 12am",\x,43.0465735,-83.7322603,Holiday Wine Shoppe,(810) 789-4030,,157,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_157.png
"3026 Fenton Rd Flint, Mi 48507",,"Mon - Fri, 9am -12am",\x,42.9933781,-83.69338429999999,Sals Party Store Inc,(810) 471-9717,,161,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_161.png
"2212 Lewis St Flint, Mi 48506",,"Mon - Sat, 9:30 am - 9:30pm; Sun, 11am - 9:30pm",\x,43.0362005,-83.6748796,Jules Market Inc,(810) 232-8912,,163,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_163.png
"3246 Richfield Rd Flint, Mi 48506",,,\x,43.05059019999999,-83.6460857,Kc'S Market Iii,(810) 736-8520,,165,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_165.png
"3110 Ml King Ave  Flint, Mi 48505",,"Mon - Sun, 8am - 9pm",\x,43.0445012,-83.7044284,Hinky Dinky Market,(810) 789-0990,,173,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_173.png
"1916 Davison Road Flint, Mi 48506",,"Mon-Sat, 8am-9pm; Sun, 8am - 7pm",\x,43.0322154,-83.66468069999999,Fresh Choice Market Place Flint,(810) 285-9921,,175,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_175.png
"4311 Dupont Flint, Mi 48505",,Mon - Sat 8am - 9pm; Sun - 9am - 7pm,\x,43.0545689,-83.71483970000001,Mr B'S Foodland,(810) 789-8121,,181,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_181.png
"3701 Corunna Rd Flint, Mi 48532",,Mon - Sun: 9:30 am - 8:30 pm,\x,43.00203500000001,-83.7348076,Kamils Mid Eastern Food,(810) 239-5819,,183,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_183.png
"1780 South Dort Hwy Flint, Mi 48503",,24/7,\x,43.0099385,-83.6550212,Cal'S Marathon Llc,810-235-1400,,187,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_187.png
"4005 Clio Rd Flint, Mi 48504",,24/7,\x,43.0506174,-83.73307910000001,Gas Masters #6 Inc,(810) 787-2209,,189,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_189.png
"7030 Dort Hwy Flint, Mi 48505",,24/7,\x,43.075515,-83.6738678,Dort Hwy Gas & Mart Inc,(810) 785-1731,,191,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_191.png
"2800 Corunna Road Flint, Mi 48503",,"Monday - Sunday, 5am - 10pm (openning and closing hours may vary)",\x,43.0027946,-83.72506369999999,Marathon - B Raj Investment Llc,810-235-1635,,195,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_195.png
"902 Dort Hwy Flint, Mi 48503",,24/7,\x,43.0181603,-83.65493719999999,Sunoco Gas Station,(810) 785-1731,,197,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_197.png
"2905 N Saginaw St Flint, Mi 48505",,24/7,\x,43.0424321,-83.69418189999999,Marathon - A And B Gas Inc,810-238-7741,,201,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_201.png
"2320 Davison Rd Flint, Mi 48506",,24/7,\x,43.03281610000001,-83.66017269999999,Merauiz Oil Inc,810-233-6732,,203,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_203.png
"3317 Martin L King Ave Flint, Mi 48505",,24/7,\x,43.0461337,-83.7049584,King Oil Mart Llc,810-407-7172,,207,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_207.png
"1901 N Dort Hwy Flint, Mi 48506",,24/7,\x,43.033105,-83.65567949999999,Aas Gas Mart,(810) 232-7330,,211,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_211.png
"5140 Fleming Rd Flint, Mi 48504",,24/7,\x,43.060464,-83.723292,Fleming Oil Inc,810-785-6582,,213,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_213.png
"1330 E Atherton Flint, Mi 48507",,24/7,\x,42.9888615,-83.6539488,Ez Fuel Inc,(810) 744-4452,,215,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_215.png
"6040 Clio Rd Flint, Mi 48504",,24/7,\x,43.0676115,-83.7330601,Dous Oil Inc,810-789-8816,,219,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_219.png
"7022 N Saginaw Flint, Mi 48505",,24/7,\x,43.07516560000001,-83.6932169,Marathon,(810) 787-5923,,221,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_221.png
"3802 Davison Rd Flint, Mi 48506",,24/7,\x,43.0329972,-83.6375655,Admiral Petroleum Co #124,(810) 742-5532,,229,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_229.png
"3913 Fenton Rd Flint, Mi 48507",,24/7,\x,42.9874439,-83.6928016,Admiral Petroleum Co #123,(810) 234-5782,,231,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_231.png
"2617 N Dort Flint, Mi 48506",,"Mon - Sun, 5am - 3am (closed 3am-5am)",\x,43.0393775,-83.6558098,Admiral Petroleum #105,(810) 239-6122,,235,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_235.png
"4030 N Dort Hwy Flint, Mi 48506",,24/7,\x,43.0516793,-83.6637659,Dort Fill Up Inc,(810) 736-4655,,239,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_239.png
"116 W Broad St Linden, Mi 48451",,,\x,42.8147842,-83.7834122,Sweet D'S Confections,,,1079,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1079.png
"3910 Fenton Rd Flint, Mi 48507",,24/7,\x,42.9873757,-83.69327919999999,One Stop Food Stores #15,810-239-9071,,245,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_245.png
"429 N B Chavez Dr Flint, Mi 48503",,Tuesday Mornings,\x,43.0192094,-83.6838463,Riverside Tabernacle,810-234-6246,,247,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_247.png
"2608 Corunna Rd Flint, Mi 48503",,"Mon - Sat, 9am - 9pm; Sun, 1pm - 6pm",\x,43.0034219,-83.721712,Seoul Oriental Market,(810) 767-7054,,251,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_251.png
"3708 Fenton Rd Flint, Mi 48507",,"Mon - Sun , 8am - 9pm",\x,42.9889088,-83.6935282,Dollar General Store #8120,(810) 760-9739,,255,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_255.png
"2627 W Pierson Rd Flint, Mi 48504",,Monday - Sunday : 08:00 AM-10:00 PM,\x,43.0593491,-83.73622569999999,Family Dollar Stores Of Mi Inc #2779,8107875984,,257,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_257.png
"115 E Pierson Rd Flint, Mi 48505",,"Mon - Sun , 8am - 9pm",\x,43.06157,-83.70355649999999,Dollar General Store #13580,(810) 785-4635,,259,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_259.png
"132 W 1St St Flint, Mi 48502",,"May vary, generally Mon - Sat 10:30 - 6pm. Call to confirm",\x,43.0154973,-83.6919518,Healthy Dollar,810 - 341- 1227,,263,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_263.png
"4401 Dupont St Flint, Mi 48505",,"Mon - Sat, 10am - 8pm; Sun, 11am -6pm",\x,43.0548213,-83.7148076,Super Dollar Town Plus,(810) 787-3301,,265,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_265.png
"877 E 5Th Ave Flint, Mi 48503",,Monday - Sunday : 08:00 AM-10:00 PM,\x,43.02402499999999,-83.6917562,Family Dollar Store #7389,8102383832,,269,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_269.png
"2513 N Saginaw St Flint, Mi 48505",,Mon-Sun:  9am - 6pm,\x,43.0394526,-83.6944212,Dollar & Dime Inc,(810) 760-9413,,271,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_271.png
"4823 Fenton Rd Flint, Mi 48507",,Mon - Sat: 9:00am - 10:00pm | Sun: 10:00am - 9:00pm,\x,42.9805547,-83.69169079999999,Dollar Tree Store 03284,810-234-0998,,275,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_275.png
"1275 N Ballenger Hwy Flint, Mi 48504",,Monday - Sun : 8AM-10PM,\x,43.0242955,-83.7322823,Family Dollar Stores Of Mich #6009,8104243736,,277,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_277.png
"3102 N Franklin Ave Flint, Mi 48506",,Monday - Sunday : 08:00 AM-08:00 PM,\x,43.0437143,-83.6648469,Family Dollar Stores Of Mich #7035,8107670431,,281,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_281.png
"1717 N Dort Hwy Flint, Mi 48506",,"Mon - Sun , 8am - 9pm",\x,43.032315,-83.65589039999999,Dollar General Store #9625,(810) 424-6404,,283,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_283.png
"2918 Flushing Rd Flint, Mi 48504",,"Mon - Sat, 8am - 9pm; Sun, 9am - 8pm",\x,43.0253451,-83.7321163,Save A Lot #307,(810) 238-4275,,287,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_287.png
"5125 Fenton Rd Flint, Mi 48507",,"Mon - Sun, 8am - 9pm",\x,42.97773,-83.6928686,Save A Lot #301,(810) 424-9426,,289,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_289.png
"808 W Pasadena Flint, Mi 48504",,"Mon - Th, 8am - 10pm; Fri - Sat, 8am - 11pm; Sun 9am - 10pm",\x,43.046498,-83.7156586,"Prince Party Store, The",(810) 787-4180,,293,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_293.png
"601 S Saginaw Flint, Mi 48502",,Mon - Fri 7Am - 4pm,\x,43.0150173,-83.6893977,Ground Floor Llc,(810) 285-9235,,295,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_295.png
"5106 N Saginaw Flint, Mi 48505",,"Mon - Sun, 8am - 11pm",\x,43.0785121,-83.69363220000001,Ez Stop Food Mart #2,(810) 407-8896,,297,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_297.png
"3001 Corunna Rd Flint, Mi 48503",,"Mon-Sat, 9am-4pm, closed Sun",\x,43.0024065,-83.72738059999999,Bread Basket,(810) 235-2212,,305,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_305.png
"2709 Davison Rd Flint, Mi 48506",,Mon - Fri: 9am - 5pm,\x,43.03329009999999,-83.6559968,Mr Bread Inc,(810) 767-3551,,307,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_307.png
"1101 S Saginaw St Flint, Mi 48502",,,\x,43.0115152,-83.68494989999999,Kandy Shack,,,309,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_309.png
"4313 Corunna Rd Flint, Mi 48532",,24/7,\x,42.9996451,-83.7644827,Wal-Mart Supercenter #1928,(810) 733-5055,,313,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_313.png
"5186 Fenton Rd Flint, Mi 48507",,Sun - Sat: 6 AM - Midnight,\x,42.9545057,-83.69325769999999,Kroger Store #425,(810) 232-7137,,319,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_319.png
"4519 Richfield Rd Flint, Mi 48506",,"Mon - Sun, 8am -10pm",\x,43.051924,-83.61662419999999,Rite Aid #1587,(810) 250-0165,,325,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_325.png
"4001 Davison Rd Burton, Mi 48509",,"Mon - Sun, 8am -10pm",\x,43.0338857,-83.634771,Rite Aid Discount Pharmacy #3667,(810) 742-0217,,329,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_329.png
"3283 S Saginaw St Burton, Mi 48529",,,\x,42.9813582,-83.67395139999999,Mikes Super Sav,(810) 742-9890,,337,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_337.png
"1341 W Coldwater Rd Flint, Mi 48505",,,\x,43.08987279999999,-83.70689879999999,Kingwater Market,(810) 789-8820,,343,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_343.png
"5375 N Saginaw St Flint, Mi 48505",,"Mon-Sat 8:30am - 2am; Sun, 9am - 2am",\x,43.0625158,-83.6943271,Beecher Beer & Wine,(810) 789-4816,,359,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_359.png
"3021 S Linden Rd Flint, Mi 48507",,24/7 Except Christmas Eve,\x,42.983884,-83.7722165,Montegos,(810) 733-3800,,369,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_369.png
"1395 W Bristol Rd Flint, Mi 48507",,,\x,42.9734579,-83.70772319999999,Zerkas Stop & Shop #2,810-760-9411,,373,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_373.png
"2008 W Coldwater Rd Flint, Mi 48505",,"Mon - Sat: 10am - 11pm, Sun: 12pm - 10pm",\x,43.090597,-83.7143679,Square One Food Store,(810) 785-3639,,377,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_377.png
"2013 W Bristol Rd Flint, Mi 48507",,24/7,\x,42.9732856,-83.7133131,Khirfans Super K,(810) 238-1211,,381,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_381.png
"2014 S Center Rd Burton, Mi 48519",,"Mon - Fri, 9am - 9pm; Sat-Sun, 9am - 10pm",\x,43.003756,-83.6351169,Center Road Market,(810) 742-1555,,387,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_387.png
"4516 Pasadena Ave Flint, Mi 48504",,"Sun - Th, 9am - 12am; Fri-Sat, 9am - 1am",\x,43.0463052,-83.77207899999999,Linden Road Store,(810) 732-0320,,391,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_391.png
"2096 E Judd Rd Burton, Mi 48529",,"Mon - Fri, 9am - 10:00 pm; Sat- Sun: 9am - 11pm",\x,42.96707079999999,-83.66889760000001,J Ps Party Shoppe,(810) 744-0798,,393,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_393.png
"5272 N Saginaw Flint, Mi 48505",,,\x,43.0832572,-83.693736,Northend Market,(810) 789-0611,,397,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_397.png
"7007 Clio Rd Mt Morris, Mi 48458",,,\x,43.1042888,-83.7344184,Country Corner Market,(810) 687-2870,,399,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_399.png
"4190 E Court St Burton, Mi 48509",,"Mon - Sat, 10am - 8pm; Sun, 12pm - 5pm",\x,43.0165896,-83.6296871,General Nutrition Center #0041,(810) 744-0332,,403,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_403.png
"3457 Linden Rd Flint, Mi 48507",,"Mon-Sat, 10am-9pm; Sun, 12pm - 6pm",\x,42.9755936,-83.7713753,General Nutrition Center #754,(810) 732-6410,,405,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_405.png
"4508 Van Slyke Flint, Mi 48507",,Mon - Sun 10am - 9pm,\x,42.9596996,-83.7133546,Michigan Food Market,(810) 410-4525,,409,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_409.png
"5204 N Saginaw Street Flint, Mi 48505",,"Mon - Sat, 8am - 8pm; Sun, 8am - 7pm",\x,43.0812666,-83.6935906,Great Giant Supermarket,(810) 787-5201,,411,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_411.png
"4012 Davison Rd Burton, Mi 48509",,24/7,\x,43.032781,-83.6349719,Asf 5 Inc,810-422-9818,,415,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_415.png
"5050 W Pierson Rd Flint, Mi 48504",,,\x,43.0609115,-83.7750559,Pierson Service Station Llc,(810) 733-2159,,417,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_417.png
"4151 W Pierson Rd Flint, Mi 48504",,24/7,\x,43.060162,-83.75925699999999,Marathon - Hasan Fuel Inc,810-787-1295,,421,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_421.png
"G 3416 W Pierson Rd Flint, Mi 48504",,24/7,\x,43.0610069,-83.7490883,Marathon - Aziz Station Inc,810-820-6055,,423,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_423.png
"5515 Clio Road Flint, Mi 48504",,24/7,\x,43.0892846,-83.7337627,Amir Petroleum Llc,(810) 785-1785,,427,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_427.png
"5120 Corunna Rd Flint, Mi 48532",,,\x,43.00233559999999,-83.77701929999999,Corunna Road West Express Stop,(810) 733-0460,,429,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_429.png
"4172 W Pierson Rd Flint, Mi 48504",,"Mon - th, 5am - 11pm; Fri, 5am - 12am; Sat , 6am - 12am; Sun, 7am - 10pm",\x,43.0609629,-83.7599123,Pierson Rd Fuel Stop Inc,(810) 785-3589,,433,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_433.png
"6114 N Saginaw Mt Morris, Mi 48458",,"Mon- Sun, 6 AM to 10PM",\x,43.093203,-83.693793,Faris Fuel Stop Inc,810-789-8722,,435,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_435.png
"4646 S Dort Hwy Flint, Mi 48507",,24/7,\x,42.9824091,-83.6537529,Admiral Petroleum Co #286,(810) 835-4821,,439,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_439.png
"1374 W Bristol Flint, Mi 48507",,24/7,\x,42.9740887,-83.7069135,Bristol Fuel Llc,(810) 232-4741,,441,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_441.png
"5015 Richfield Rd Flint, Mi 48506",,24/7,\x,43.0518776,-83.615262,Marathon - Atn Oil Inc,810-250-0144,,447,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_447.png
"1117 S Belsay Rd Burton, Mi 48509",,,\x,43.0159023,-83.59446899999999,Sunoco,,,1089,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_1089.png
"2333 S. Center Rd Burton, Mi 48519",,24/7,\x,42.9933387,-83.6316454,Meijer Gas Station #29,(810) 744-4000,,457,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_457.png
"3155 Miller Rd Flint, Mi 48507",,24/7,\x,42.989853,-83.7373454,Speedway  #5524 Good Customer Service,(810) 238-5850,,461,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_461.png
"1499 S Linden Road Flint, Mi 48532",,24/7,\x,43.0025661,-83.7719335,Speedway #8745,(810) 230-2555,,463,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_463.png
"1258 East Bristol Rd Burton, Mi 48529",,24/7,\x,42.9742272,-83.6834733,Speedway #5518 Good Customer Service,(810) 233-3753,,467,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_467.png
"6010 Davison Burton, Mi 48509",,24/7,\x,43.0332711,-83.5953968,One Stop Food Store #22,810-742-7470,,469,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_469.png
"2374 W Hill Rd Flint, Mi 48507",,24/7,\x,42.9442866,-83.7265434,One Stop Food Stores #21,810-767-3870,,473,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_473.png
"2169 W Bristol Rd Flint, Mi 48507",,24/7,\x,42.9732264,-83.7191249,Speedway #8749,(810) 232-0007,,475,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_475.png
"1466 E Bristol Rd Burton, Mi 48529",,24/7,\x,42.97406549999999,-83.67535939999999,Speedway #8753,(810) 742-6031,,479,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_479.png
"3514 E Bristol Rd Burton, Mi 48529",,24/7,\x,42.9745609,-83.63372059999999,Speedway  #2206 Good Customer Service,(810) 743-6570,,483,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_483.png
